----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
         Dropout-383             [-1, 196, 512]               0
             Mlp-384             [-1, 196, 512]               0
        DropPath-385             [-1, 196, 512]               0
SwinTransformerBlock-386          [-1, 14, 14, 512]               0
SwinTransformerStage-387          [-1, 14, 14, 512]               0
       LayerNorm-388           [-1, 7, 7, 2048]           4,096
          Linear-389           [-1, 7, 7, 1024]       2,097,152
    PatchMerging-390           [-1, 7, 7, 1024]               0
       LayerNorm-391           [-1, 7, 7, 1024]           2,048
          Linear-392             [-1, 49, 3072]       3,148,800
         Softmax-393           [-1, 32, 49, 49]               0
         Dropout-394           [-1, 32, 49, 49]               0
          Linear-395             [-1, 49, 1024]       1,049,600
         Dropout-396             [-1, 49, 1024]               0
 WindowAttention-397             [-1, 49, 1024]               0
        DropPath-398           [-1, 7, 7, 1024]               0
       LayerNorm-399             [-1, 49, 1024]           2,048
          Linear-400             [-1, 49, 4096]       4,198,400
            GELU-401             [-1, 49, 4096]               0
         Dropout-402             [-1, 49, 4096]               0
          Linear-403             [-1, 49, 1024]       4,195,328
         Dropout-404             [-1, 49, 1024]               0
             Mlp-405             [-1, 49, 1024]               0
        DropPath-406             [-1, 49, 1024]               0
SwinTransformerBlock-407           [-1, 7, 7, 1024]               0
       LayerNorm-408           [-1, 7, 7, 1024]           2,048
          Linear-409             [-1, 49, 3072]       3,148,800
         Softmax-410           [-1, 32, 49, 49]               0
         Dropout-411           [-1, 32, 49, 49]               0
          Linear-412             [-1, 49, 1024]       1,049,600
         Dropout-413             [-1, 49, 1024]               0
 WindowAttention-414             [-1, 49, 1024]               0
        DropPath-415           [-1, 7, 7, 1024]               0
       LayerNorm-416             [-1, 49, 1024]           2,048
          Linear-417             [-1, 49, 4096]       4,198,400
            GELU-418             [-1, 49, 4096]               0
         Dropout-419             [-1, 49, 4096]               0
          Linear-420             [-1, 49, 1024]       4,195,328
         Dropout-421             [-1, 49, 1024]               0
             Mlp-422             [-1, 49, 1024]               0
        DropPath-423             [-1, 49, 1024]               0
SwinTransformerBlock-424           [-1, 7, 7, 1024]               0
SwinTransformerStage-425           [-1, 7, 7, 1024]               0
       LayerNorm-426           [-1, 7, 7, 1024]           2,048
FastAdaptiveAvgPool-427                 [-1, 1024]               0
        Identity-428                 [-1, 1024]               0
SelectAdaptivePool2d-429                 [-1, 1024]               0
         Dropout-430                 [-1, 1024]               0
          Linear-431                 [-1, 1000]       1,025,000
        Identity-432                 [-1, 1000]               0
  ClassifierHead-433                 [-1, 1000]               0
================================================================
Total params: 87,704,680
Trainable params: 87,704,680
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.57
Forward/backward pass size (MB): 544.60
Params size (MB): 334.57
Estimated Total Size (MB): 879.74
----------------------------------------------------------------
